stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
zenbus:StopPoint:SP:843730008:LOC,DURENQUE,DURENQUE,,43.60324,2.243824,,,0,,,0,,
zenbus:StopPoint:SP:834510003:LOC,SICARD,SICARD,,43.607749,2.241614,,,0,,,0,,
zenbus:StopPoint:SP:843740004:LOC,COLLEGE JEAN-JAURES,COLLEGE JEAN-JAURES,,43.608517,2.237561,,,0,,,0,,
zenbus:StopPoint:SP:834470004:LOC,ZOLA,ZOLA,,43.60661,2.237233,,,0,,,0,,
zenbus:StopPoint:SP:843700013:LOC,EVECHE,EVECHE,,43.603111,2.238807,,,0,,,0,,
zenbus:StopPoint:SP:839690006:LOC,GARES CASTRES,GARES CASTRES,,43.598411,2.230341,,,0,,,0,,
zenbus:StopPoint:SP:826700004:LOC,MAILLOT,MAILLOT,,43.600276,2.239618,,,0,,,0,,
zenbus:StopPoint:SP:828690004:LOC,LES CEDRES,LES CEDRES,,43.60194,2.241817,,,0,,,0,,
zenbus:StopPoint:SP:856850007:LOC,CHARTREUSE,CHARTREUSE,,43.589973,2.188334,,,0,,,0,,
zenbus:StopPoint:SP:834480007:LOC,REGNAULT,REGNAULT,,43.591278,2.188886,,,0,,,0,,
zenbus:StopPoint:SP:856840005:LOC,BELESTA,BELESTA,,43.590549,2.185779,,,0,,,0,,
zenbus:StopPoint:SP:851150005:LOC,CALMETTES,CALMETTES,,43.588338,2.185479,,,0,,,0,,
zenbus:StopPoint:SP:853080006:LOC,MAISON NEUVE,MAISON NEUVE,,43.587642,2.186293,,,0,,,0,,
zenbus:StopPoint:SP:843760005:LOC,MELOU/R,MELOU,,43.591964,2.209339,,,0,,,0,,
zenbus:StopPoint:SP:849270016:LOC,MONTREVEIL/R,MONTREVEIL,,43.592826,2.214083,,,0,,,0,,
zenbus:StopPoint:SP:810260006:LOC,LE VERDIER/R,LE VERDIER,,43.593074,2.217095,,,0,,,0,,
zenbus:StopPoint:SP:824780006:LOC,CASTRES GUYNEMER/R,CASTRES GUYNEMER,,43.59513,2.224137,,,0,,,0,,
zenbus:StopPoint:SP:851130010:LOC,ARSENAL/R,ARSENAL,,43.595771,2.227855,,,0,,,0,,
zenbus:StopPoint:SP:826710004:LOC,LADEN/R,LADEN,,43.594585,2.230214,,,0,,,0,,
zenbus:StopPoint:SP:863050005:LOC,BARRAL/R,BARRAL,,43.59304,2.233189,,,0,,,0,,
zenbus:StopPoint:SP:843720009:LOC,TRIOLET/R,TRIOLET,,43.593475,2.235869,,,0,,,0,,
zenbus:StopPoint:SP:849350007:LOC,LACAZE BASSE/R,LACAZE BASSE,,43.595268,2.236869,,,0,,,0,,
zenbus:StopPoint:SP:853070012:LOC,SAINT ROCH/R,SAINT ROCH,,43.597164,2.237939,,,0,,,0,,
zenbus:StopPoint:SP:828680004:LOC,FUZIES,FUZIES,,43.605862,2.245299,,,0,,,0,,
zenbus:StopPoint:SP:837880003:LOC,CARNOT,CARNOT,,43.607048,2.245402,,,0,,,0,,
zenbus:StopPoint:SP:830780017:LOC,DROUOT/R,DROUOT,,43.603019,2.24796,,,0,,,0,,
zenbus:StopPoint:SP:824770008:LOC,MERIGONDE,MERIGONDE,,43.601741,2.252626,,,0,,,0,,
zenbus:StopPoint:SP:810270007:LOC,LYAUTEY/R,LYAUTEY,,43.603516,2.254143,,,0,,,0,,
zenbus:StopPoint:SP:858800008:LOC,LECLERC,LECLERC,,43.605979,2.255979,,,0,,,0,,
zenbus:StopPoint:SP:851140008:LOC,FILTRES/R,FILTRES,,43.607626,2.256928,,,0,,,0,,
zenbus:StopPoint:SP:849340011:LOC,CIGALES/R,CIGALES,,43.609875,2.260155,,,0,,,0,,
zenbus:StopPoint:SP:814590010:LOC,JOFFRE/R,JOFFRE,,43.610366,2.257719,,,0,,,0,,
zenbus:StopPoint:SP:836080008:LOC,,BLEUETS,,43.610176,2.255295,,,0,,,0,,
zenbus:StopPoint:SP:856850012:LOC,BONAFE,BONAFE,,43.611511,2.248091,,,0,,,0,,
zenbus:StopPoint:SP:831800015:LOC,PUECH/R,PUECH,,43.613193,2.248453,,,0,,,0,,
zenbus:StopPoint:SP:828600014:LOC,AILLOT/R,AILLOT,,43.614756,2.246868,,,0,,,0,,
zenbus:StopPoint:SP:843720015:LOC,CASTRES LANGUEDOC/R,CASTRES LANGUEDOC,,43.615829,2.246032,,,0,,,0,,
zenbus:StopPoint:SP:856830009:LOC,AQUITAINE/R,AQUITAINE,,43.616165,2.248013,,,0,,,0,,
zenbus:StopPoint:SP:837880006:LOC,BOURIATTE/R,BOURIATTE,,43.615245,2.249878,,,0,,,0,,
zenbus:StopPoint:SP:836670001:LOC,GARE/R,GARE,,43.598781,2.231236,,,0,,,0,,
zenbus:StopPoint:SP:824790009:LOC,INDUSTRIE,INDUSTRIE,,43.589324,2.21415,,,0,,,0,,
zenbus:StopPoint:SP:834460007:LOC,GALIB1,GALIBER,,43.603279,2.237816,,,0,,,0,,
zenbus:StopPoint:SP:830780023:LOC,LE VERDIER,LE VERDIER,,43.593204,2.216981,,,0,,,0,,
zenbus:StopPoint:SP:826680008:LOC,MONTREVEIL,MONTREVEIL,,43.592994,2.214559,,,0,,,0,,
zenbus:StopPoint:SP:858810009:LOC,MELOU,MELOU,,43.592021,2.209085,,,0,,,0,,
zenbus:StopPoint:SP:853070016:LOC,SAINTE CROIX,SAINTE CROIX,,43.590338,2.197897,,,0,,,0,,
zenbus:StopPoint:SP:810260009:LOC,MOULET,MOULET,,43.590439,2.194097,,,0,,,0,,
zenbus:StopPoint:SP:824780009:LOC,LE CHATELIER,LE CHATELIER,,43.590362,2.190106,,,0,,,0,,
zenbus:StopPoint:SP:834490011:LOC,MAILLOT/R,MAILLOT,,43.600573,2.239629,,,0,,,0,,
zenbus:StopPoint:SP:843700015:LOC,SAINT ROCH,SAINT ROCH,,43.59745,2.237883,,,0,,,0,,
zenbus:StopPoint:SP:843690020:LOC,LACAZE BASSE,LACAZE BASSE,,43.59539,2.236721,,,0,,,0,,
zenbus:StopPoint:SP:843760003:LOC,MAIL,MAIL,,43.602074,2.250647,,,0,,,0,,
zenbus:StopPoint:SP:826710008:LOC,DROUOT,DROUOT,,43.603379,2.247346,,,0,,,0,,
zenbus:StopPoint:SP:828680010:LOC,AQUITAINE,AQUITAINE,,43.61589,2.248558,,,0,,,0,,
zenbus:StopPoint:SP:826690012:LOC,CASTRES LANGUEDOC,CASTRES LANGUEDOC,,43.615497,2.245986,,,0,,,0,,
zenbus:StopPoint:SP:824770010:LOC,AILLOT,AILLOT,,43.614701,2.246691,,,0,,,0,,
zenbus:StopPoint:SP:843740006:LOC,PUECH,PUECH,,43.613262,2.248423,,,0,,,0,,
zenbus:StopPoint:SP:851150009:LOC,BONAFE/R,BONAFE,,43.611511,2.247936,,,0,,,0,,
zenbus:StopPoint:SP:849270017:LOC,ECOLES BISSEOUS,ECOLES BISSEOUS,,43.611019,2.250997,,,0,,,0,,
zenbus:StopPoint:SP:843690021:LOC,NICOULEAU,NICOULEAU,,43.61023,2.252606,,,0,,,0,,
zenbus:StopPoint:SP:843750006:LOC,BLEUETS,BLEUETS,,43.610198,2.255994,,,0,,,0,,
zenbus:StopPoint:SP:851150006:LOC,JOFFRE,JOFFRE,,43.610301,2.257552,,,0,,,0,,
zenbus:StopPoint:SP:843700019:LOC,CIGALES,CIGALES,,43.609806,2.260123,,,0,,,0,,
zenbus:StopPoint:SP:854950008:LOC,FILTRES,FILTRES,,43.6076,2.2567,,,0,,,0,,
zenbus:StopPoint:SP:828600013:LOC,LECLERC/R,LECLERC,,43.605934,2.255834,,,0,,,0,,
zenbus:StopPoint:SP:853070015:LOC,LYAUTEY,LYAUTEY,,43.603573,2.254098,,,0,,,0,,
zenbus:StopPoint:SP:826700006:LOC,MERIGONDE/R,MERIGONDE,,43.601826,2.252533,,,0,,,0,,
zenbus:StopPoint:SP:826700012:LOC,ALSACE LORRAINE,ALSACE LORRAINE,,43.60218,2.240666,,,0,,,0,,
zenbus:StopPoint:SP:843700018:LOC,TRIOLET,TRIOLET,,43.593921,2.236051,,,0,,,0,,
zenbus:StopPoint:SP:863070002:LOC,BARRAL,BARRAL,,43.593143,2.233218,,,0,,,0,,
zenbus:StopPoint:SP:843720011:LOC,LADEN,LADEN,,43.594688,2.230216,,,0,,,0,,
zenbus:StopPoint:SP:824790004:LOC,ARSENAL,ARSENAL,,43.595811,2.227923,,,0,,,0,,
zenbus:StopPoint:SP:839690009:LOC,CASTRES GUYNEMER,CASTRES GUYNEMER,,43.595088,2.223841,,,0,,,0,,
zenbus:StopPoint:SP:831800009:LOC,INDUSTRIE/R,INDUSTRIE,,43.590057,2.215325,,,0,,,0,,
zenbus:StopPoint:SP:834490005:LOC,LAMEILHE/R,LAMEILHE,,43.593955,2.243028,,,0,,,0,,
zenbus:StopPoint:SP:915460002:LOC,COLLEGE THOMAS PESQUET,COLLEGE THOMAS PESQUET,,43.581273,2.260122,,,0,,,0,,
zenbus:StopPoint:SP:828680005:LOC,CAPELANIE Arr,CAPELANIE Arr,,43.584992,2.248179,,,0,,,0,,
zenbus:StopPoint:SP:830780018:LOC,ESTADIEU,ESTADIEU,,43.587362,2.245318,,,0,,,0,,
zenbus:StopPoint:SP:826670005:LOC,MAURIAC,MAURIAC,,43.588417,2.240906,,,0,,,0,,
zenbus:StopPoint:SP:5083332228415488:LOC,PALIQUE/R,PALIQUE,,43.589588,2.240965,,,0,,,0,,
